image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,distractor_level
ABBOTTS_BOOBY_2.jpg,OVENBIRD_5.jpg,0.298336,0.27546513,0.22496466,0.18986428,0.15912622,0.122733995,0.09447844,1
GILDED_FLICKER_1.jpg,OVENBIRD_5.jpg,0.2623769,0.272674,0.18565775,0.146364,0.29797038,0.400879,0.464666,2
OSTRICH_4.jpg,PARUS_MAJOR_1.jpg,0.32940793,0.27695647,0.17387453,0.12685385,0.08950542,0.12192546,0.0946381,0
BLACK_SWAN_4.jpg,PARUS_MAJOR_1.jpg,0.30312312,0.27232295,0.19030811,0.19650537,0.15641683,0.13376819,0.12254159,1
FAIRY_BLUEBIRD_5.jpg,PARUS_MAJOR_1.jpg,0.25674817,0.2574994,0.17363457,0.15463337,0.19582596,0.450192,0.46328852,2
ANDEAN_SISKIN_5.jpg,PEACOCK_3.jpg,0.5471851,0.37197706,0.24825963,0.17152874,0.0793558,0.20033349,0.17297694,0
PEACOCK_3.jpg,RED_FODY_5.jpg,0.2965446,0.3327367,0.22456819,0.18399462,0.20224422,0.22096567,0.18538196,1
CHATTERING_LORY_3.jpg,PEACOCK_3.jpg,0.24522835,0.31240037,0.2243328,0.16418086,0.16579732,0.22972737,0.25453168,2
BEARDED_BARBET_2.jpg,PINK_ROBIN_4.jpg,0.4816437,0.29012504,0.18573138,0.12811692,0.2142919,0.33312288,0.40184748,0
JACK_SNIPE_5.jpg,PINK_ROBIN_4.jpg,0.27332506,0.3103903,0.2432802,0.20755598,0.18497227,0.17008558,0.1817831,1
GREEN_MAGPIE_3.jpg,PINK_ROBIN_4.jpg,0.20065029,0.2657878,0.17297746,0.14840887,0.16896112,0.37938923,0.44531026,2
MIKADO__PHEASANT_5.jpg,PYGMY_KINGFISHER_5.jpg,0.4796338,0.32099432,0.21683079,0.16994329,0.28168744,0.28809357,0.31157988,0
OYSTER_CATCHER_5.jpg,PYGMY_KINGFISHER_5.jpg,0.29401243,0.2718736,0.19554123,0.19005689,0.2736768,0.22331029,0.19549297,1
