,target_image,layer1,layer2,layer3,layer1_2nd_best,layer2_2nd_best,layer3_2nd_best
12,CASSOWARY_1.jpg,ROSY_FACED_LOVEBIRD_4.jpg,SCARLET_MACAW_1.jpg,DEMOISELLE_CRANE_1.jpg,CEDAR_WAXWING_4.jpg,EASTERN_ROSELLA_2.jpg,WHITE_NECKED_RAVEN_5.jpg
13,CERULEAN_WARBLER_1.jpg,ORIENTAL_BAY_OWL_1.jpg,AMERICAN_FLAMINGO_5.jpg,BANANAQUIT_1.jpg,DALMATIAN_PELICAN_5.jpg,COCK_OF_THE__ROCK_2.jpg,CRESTED_OROPENDOLA_5.jpg
14,CHUKAR_PARTRIDGE_5.jpg,OSTRICH_3.jpg,RAZORBILL_1.jpg,BLACK_THROATED_BUSHTIT_1.jpg,EMU_1.jpg,ASIAN_DOLLARD_BIRD_4.jpg,PUFFIN_3.jpg
15,CRESTED_CARACARA_4.jpg,FAIRY_PENGUIN_5.jpg,BLUE_DACNIS_4.jpg,TOUCHAN_4.jpg,CRAB_PLOVER_5.jpg,PARADISE_TANAGER_1.jpg,CREAM_COLORED_WOODPECKER_1.jpg
16,CRESTED_NUTHATCH_2.jpg,SCARLET_IBIS_3.jpg,AFRICAN_FIREFINCH_1.jpg,CANARY_1.jpg,DOUBLE_BRESTED_CORMARANT_4.jpg,GOLDEN_CHLOROPHONIA_1.jpg,VERMILION_FLYCATHER_4.jpg
17,DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,EURASIAN_MAGPIE_4.jpg,CHINESE_POND_HERON_2.jpg,SNOWY_OWL_3.jpg,PATAGONIAN_SIERRA_FINCH_2.jpg,ANHINGA_5.jpg
18,EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,HYACINTH_MACAW_4.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg,BLUE_HERON_3.jpg,ANDEAN_GOOSE_3.jpg,GOLDEN_CHEEKED_WARBLER_1.jpg
19,ECUADORIAN_HILLSTAR_5.jpg,SCARLET_IBIS_2.jpg,BOBOLINK_5.jpg,CRIMSON_SUNBIRD_5.jpg,AMERICAN_FLAMINGO_1.jpg,CASSOWARY_2.jpg,GREEN_BROADBILL_4.jpg
20,EUROPEAN_TURTLE_DOVE_3.jpg,TEAL_DUCK_2.jpg,PAINTED_BUNTING_3.jpg,MALABAR_HORNBILL_2.jpg,SNOWY_EGRET_3.jpg,CAPE_GLOSSY_STARLING_1.jpg,BROWN_THRASHER_2.jpg
21,FLAME_BOWERBIRD_3.jpg,INDIAN_BUSTARD_2.jpg,BROWN_THRASHER_4.jpg,QUETZAL_3.jpg,SPOON_BILED_SANDPIPER_5.jpg,BLACK_THROATED_WARBLER_4.jpg,GOULDIAN_FINCH_1.jpg
22,GILA_WOODPECKER_3.jpg,BLACK_SWAN_3.jpg,SNOWY_OWL_4.jpg,BLACK_VULTURE_3.jpg,EGYPTIAN_GOOSE_3.jpg,ALEXANDRINE_PARAKEET_2.jpg,AZURE_TANAGER_1.jpg
