,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target,correct,test_encoding_response.rt,key_resp_end.keys,subject
284,44,,1.0,24.0,playground_145.jpg,,,,A20ZFQ93DF0WA
285,45,,1.0,25.0,highway_209.jpg,,,,A20ZFQ93DF0WA
286,46,,1.0,26.0,badlands_113.jpg,,,,A20ZFQ93DF0WA
287,47,,1.0,27.0,mountain_154.jpg,,,,A20ZFQ93DF0WA
288,48,,1.0,28.0,highway_294.jpg,,,,A20ZFQ93DF0WA
289,49,,1.0,29.0,golf_course_309.jpg,,,,A20ZFQ93DF0WA
290,50,left,1.0,30.0,left.jpg,left,0.9702,,A20ZFQ93DF0WA
291,51,,1.0,31.0,golf_course_188.jpg,,,,A20ZFQ93DF0WA
292,52,,1.0,32.0,mountain_110.jpg,,,,A20ZFQ93DF0WA
293,53,,1.0,33.0,playground_257.jpg,,,,A20ZFQ93DF0WA
294,54,,1.0,34.0,golf_course_78.jpg,,,,A20ZFQ93DF0WA
295,55,,1.0,35.0,golf_course_214.jpg,,,,A20ZFQ93DF0WA
296,56,,1.0,36.0,badlands_137.jpg,,,,A20ZFQ93DF0WA
297,57,,1.0,37.0,badlands_21.jpg,,,,A20ZFQ93DF0WA
298,58,,1.0,38.0,mountain_230.jpg,,,,A20ZFQ93DF0WA
299,59,,1.0,39.0,bridge_91.jpg,,,,A20ZFQ93DF0WA
300,60,right,1.0,40.0,right.jpg,right,1.3407,,A20ZFQ93DF0WA
301,61,,1.0,41.0,playground_117.jpg,,,,A20ZFQ93DF0WA
302,62,,1.0,42.0,bridge_146.jpg,,,,A20ZFQ93DF0WA
303,63,,1.0,43.0,badlands_70.jpg,,,,A20ZFQ93DF0WA
304,64,,1.0,44.0,bridge_128.jpg,,,,A20ZFQ93DF0WA
305,65,,1.0,45.0,golf_course_195.jpg,,,,A20ZFQ93DF0WA
306,66,,1.0,46.0,mountain_293.jpg,,,,A20ZFQ93DF0WA
307,67,,1.0,47.0,golf_course_87.jpg,,,,A20ZFQ93DF0WA
308,68,,1.0,48.0,bridge_256.jpg,,,,A20ZFQ93DF0WA
309,69,,1.0,49.0,playground_240.jpg,,,,A20ZFQ93DF0WA
310,70,,1.0,50.0,badlands_221.jpg,,,,A20ZFQ93DF0WA
311,71,,1.0,51.0,bridge_191.jpg,,,,A20ZFQ93DF0WA
312,72,,1.0,52.0,playground_219.jpg,,,,A20ZFQ93DF0WA
313,73,right,1.0,53.0,right.jpg,right,1.1682,,A20ZFQ93DF0WA
314,74,,1.0,54.0,playground_76.jpg,,,,A20ZFQ93DF0WA
315,75,,1.0,55.0,playground_60.jpg,,,,A20ZFQ93DF0WA
316,76,,1.0,56.0,badlands_23.jpg,,,,A20ZFQ93DF0WA
317,77,,1.0,57.0,highway_415.jpg,,,,A20ZFQ93DF0WA
318,78,,1.0,58.0,golf_course_217.jpg,,,,A20ZFQ93DF0WA
319,79,,1.0,59.0,golf_course_331.jpg,,,,A20ZFQ93DF0WA
320,80,,1.0,60.0,bridge_65.jpg,,,,A20ZFQ93DF0WA
321,81,,1.0,61.0,playground_10.jpg,,,,A20ZFQ93DF0WA
322,82,,1.0,62.0,golf_course_15.jpg,,,,A20ZFQ93DF0WA
323,83,,1.0,63.0,playground_131.jpg,,,,A20ZFQ93DF0WA
324,84,,1.0,64.0,highway_273.jpg,,,,A20ZFQ93DF0WA
325,20,,1.0,0.0,badlands_184.jpg,,,,A237PUN7791D62
326,21,,1.0,1.0,badlands_113.jpg,,,,A237PUN7791D62
327,22,,1.0,2.0,highway_156.jpg,,,,A237PUN7791D62
328,23,,1.0,3.0,golf_course_15.jpg,,,,A237PUN7791D62
329,24,,1.0,4.0,mountain_230.jpg,,,,A237PUN7791D62
330,25,,1.0,5.0,highway_394.jpg,,,,A237PUN7791D62
331,26,,1.0,6.0,golf_course_188.jpg,,,,A237PUN7791D62
332,27,,1.0,7.0,mountain_57.jpg,,,,A237PUN7791D62
333,28,,1.0,8.0,golf_course_217.jpg,,,,A237PUN7791D62
334,29,,1.0,9.0,playground_145.jpg,,,,A237PUN7791D62
335,30,,1.0,10.0,playground_76.jpg,,,,A237PUN7791D62
336,31,left,1.0,11.0,left.jpg,left,0.668,,A237PUN7791D62
337,32,,1.0,12.0,mountain_293.jpg,,,,A237PUN7791D62
338,33,,1.0,13.0,highway_294.jpg,,,,A237PUN7791D62
339,34,,1.0,14.0,playground_131.jpg,,,,A237PUN7791D62
340,35,,1.0,15.0,badlands_221.jpg,,,,A237PUN7791D62
341,36,,1.0,16.0,mountain_154.jpg,,,,A237PUN7791D62
