,workID,Age,Gender,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,test_key_resp.keys,test_key_resp.rt,distractor_level,category,selected_dist,slider_part2.response,slider_part2.rt,subject
57,AFOEARBOY26DU,35,Male,bridge_65.jpg,bridge_65.jpg,bridge_60.jpg,left,highway_29.jpg,playground_78.jpg,bridge_65.jpg,golf_course_196.jpg,badlands_54.jpg,mountain_176.jpg,2.0,left,1.6995,1.0,bridge,bridge_60.jpg,7.02130898,9.1674,AFOEARBOY26DU
58,AFOEARBOY26DU,35,Male,golf_course_78.jpg,golf_course_78.jpg,golf_course_101.jpg,left,badlands_60.jpg,bridge_62.jpg,mountain_307.jpg,golf_course_78.jpg,highway_193.jpg,playground_154.jpg,3.0,right,4.1111,1.0,golf,golf_course_101.jpg,7.02130898,1.5415,AFOEARBOY26DU
59,AFOEARBOY26DU,35,Male,playground_131.jpg,playground_43.jpg,playground_131.jpg,right,badlands_170.jpg,bridge_76.jpg,playground_131.jpg,highway_76.jpg,mountain_152.jpg,golf_course_171.jpg,2.0,left,6.9337,0.0,playground,playground_43.jpg,6.02283105,2.1955,AFOEARBOY26DU
60,ATW1TNWB1PVDQ,25,Male,bridge_108.jpg,bridge_108.jpg,bridge_116.jpg,left,highway_81.jpg,playground_49.jpg,mountain_202.jpg,bridge_108.jpg,golf_course_181.jpg,badlands_97.jpg,3.0,left,1.246,0.0,bridge,bridge_116.jpg,5.0,4.7376,ATW1TNWB1PVDQ
61,ATW1TNWB1PVDQ,25,Male,mountain_293.jpg,mountain_293.jpg,mountain_72.jpg,left,mountain_293.jpg,bridge_76.jpg,highway_58.jpg,badlands_200.jpg,golf_course_138.jpg,playground_120.jpg,0.0,right,1.5917,0.0,mountain,mountain_72.jpg,8.0078125,4.2836,ATW1TNWB1PVDQ
62,ATW1TNWB1PVDQ,25,Male,highway_245.jpg,highway_206.jpg,highway_245.jpg,right,mountain_233.jpg,badlands_180.jpg,playground_15.jpg,golf_course_282.jpg,highway_245.jpg,bridge_197.jpg,4.0,left,3.8886,1.0,highway,highway_206.jpg,8.0078125,1.9815,ATW1TNWB1PVDQ
63,ATW1TNWB1PVDQ,25,Male,badlands_52.jpg,badlands_63.jpg,badlands_52.jpg,right,mountain_206.jpg,badlands_52.jpg,playground_154.jpg,golf_course_269.jpg,bridge_124.jpg,highway_15.jpg,1.0,right,2.8493,1.0,badlands,badlands_63.jpg,5.984375,2.9799,ATW1TNWB1PVDQ
64,ATW1TNWB1PVDQ,25,Male,badlands_70.jpg,badlands_102.jpg,badlands_70.jpg,right,playground_184.jpg,bridge_167.jpg,highway_274.jpg,mountain_38.jpg,badlands_70.jpg,golf_course_196.jpg,4.0,right,1.7004,0.0,badlands,badlands_102.jpg,5.984375,1.6097,ATW1TNWB1PVDQ
65,ATW1TNWB1PVDQ,25,Male,highway_93.jpg,highway_93.jpg,highway_85.jpg,left,highway_93.jpg,playground_204.jpg,golf_course_305.jpg,bridge_66.jpg,badlands_16.jpg,mountain_43.jpg,0.0,right,2.0054,0.0,highway,highway_85.jpg,7.0234375,2.6917,ATW1TNWB1PVDQ
66,ATW1TNWB1PVDQ,25,Male,golf_course_87.jpg,golf_course_130.jpg,golf_course_87.jpg,right,bridge_228.jpg,golf_course_87.jpg,highway_354.jpg,playground_26.jpg,badlands_170.jpg,mountain_41.jpg,1.0,right,1.0963,0.0,golf,golf_course_130.jpg,7.9921875,3.9598,ATW1TNWB1PVDQ
